step,train_loss,val_loss,timestamp
1490,0.072,,2026-04-03T21:04:50.114241+00:00
1500,0.067,0.067,2026-04-03T21:05:33.557587+00:00
1500,0.069,,2026-04-03T21:05:36.137517+00:00
1510,0.073,,2026-04-03T21:05:56.399775+00:00
1520,0.073,,2026-04-03T21:06:14.846541+00:00
1530,0.07,,2026-04-03T21:06:35.543877+00:00
1540,0.071,,2026-04-03T21:06:55.073001+00:00
1550,0.07,0.07,2026-04-03T21:07:37.966334+00:00
1550,0.071,,2026-04-03T21:07:39.589711+00:00
1560,0.07,,2026-04-03T21:08:01.059875+00:00
1570,0.068,,2026-04-03T21:08:19.847691+00:00
1580,0.066,,2026-04-03T21:08:38.430467+00:00
1590,0.075,,2026-04-03T21:08:57.205954+00:00
1600,0.067,0.067,2026-04-03T21:09:36.897426+00:00
1600,0.08,,2026-04-03T21:09:38.896287+00:00
1610,0.073,,2026-04-03T21:09:58.243351+00:00
1620,0.077,,2026-04-03T21:10:15.115713+00:00
1630,0.074,,2026-04-03T21:10:30.177186+00:00
1640,0.07,,2026-04-03T21:10:49.599082+00:00
1650,0.071,0.071,2026-04-03T21:11:27.732935+00:00
1650,0.076,,2026-04-03T21:11:29.016632+00:00
1660,0.067,,2026-04-03T21:11:46.607449+00:00
1670,0.071,,2026-04-03T21:12:04.224285+00:00
1680,0.075,,2026-04-03T21:12:20.772198+00:00
1690,0.077,,2026-04-03T21:12:37.274895+00:00
1700,0.065,0.065,2026-04-03T21:13:14.596512+00:00
1700,0.069,,2026-04-03T21:13:15.901824+00:00
1710,0.072,,2026-04-03T21:13:33.830842+00:00
1720,0.064,,2026-04-03T21:13:49.812180+00:00
1730,0.078,,2026-04-03T21:14:06.394960+00:00
1740,0.078,,2026-04-03T21:14:22.341428+00:00
1750,0.075,0.075,2026-04-03T21:15:00.337789+00:00
1750,0.073,,2026-04-03T21:15:02.644184+00:00
1760,0.068,,2026-04-03T21:15:20.865501+00:00
1770,0.068,,2026-04-03T21:15:37.567116+00:00
1780,0.081,,2026-04-03T21:15:53.782583+00:00
1790,0.068,,2026-04-03T21:16:10.259091+00:00
1800,0.069,0.069,2026-04-03T21:16:49.974252+00:00
1800,0.073,,2026-04-03T21:16:51.820311+00:00
1810,0.069,,2026-04-03T21:17:08.947794+00:00
1820,0.061,,2026-04-03T21:17:26.020547+00:00
1830,0.057,,2026-04-03T21:17:46.011303+00:00
1840,0.065,,2026-04-03T21:18:05.750942+00:00
1850,0.066,0.066,2026-04-03T21:18:45.627620+00:00
1850,0.066,,2026-04-03T21:18:48.030416+00:00
1860,0.059,,2026-04-03T21:19:05.540877+00:00
1864,0.07,0.07,2026-04-03T21:19:31.702162+00:00
1864,0.074,,2026-04-03T21:19:33.196347+00:00
